A,Development Craftsman
B,Personnel Reliability Assurance Program Manager
C,Flying Crew Chief
D,Enlisted Force Development
E,Electromagnetic Spectrum Operations (EMSO)/Electronic Warfare (EW) Support Duty
G,Automated Systems Programming Craftsman
J,Parachutist
K,Instructor
M,Multi-Domain Operations
N,Network Systems Administrator
Q,Evaluator
R,Contingency/War Planner
S,Space Test Enterprise
T,Formal Training Instructor
U,Information Operations
V,Automated Functional Applications Analyst/Monitor
W,Weapons and Tactics Instructor
X,Aircrew
Z,Agile Software Development